longitude,latitude,height_meters
12.4883926,41.8955638,3.0
12.4883871,41.8955963,3.0
12.4883588,41.8957162,3.0
12.4882278,41.8957061,3.0
12.4880757,41.8956949,3.0
12.487742,41.8956565,3.0
12.4874206,41.8956223,3.0
12.4874357,41.895507,3.0
12.4874547,41.8955067,3.0
12.4874634,41.8954536,3.0
12.4875073,41.895184,3.0
12.4875872,41.8951919,3.0
12.4876051,41.8951189,3.0
12.4878,41.8951411,3.0
12.4879758,41.8951612,3.0
12.4883002,41.8951937,3.0
12.4884559,41.8952143,3.0
12.4884519,41.8952565,3.0
12.4889314,41.8910086,20.0
12.4890162,41.8909738,20.0
12.4889868,41.8909303,20.0
12.4889814,41.8909222,20.0
12.4890183,41.8909112,20.0
12.4893611,41.890814,20.0
12.4893712,41.8908337,20.0
12.4893819,41.8908509,20.0
12.4893922,41.8908785,20.0
12.4893572,41.8908888,20.0
12.4894471,41.8910356,20.0
12.4895151,41.8910151,20.0
12.4895287,41.8910407,20.0
12.4896021,41.8910155,20.0
12.4896126,41.8910338,20.0
12.4896271,41.891056,20.0
12.4896539,41.8911058,20.0
12.4896794,41.8910986,20.0
12.4897069,41.89115,20.0
12.4894987,41.8912266,20.0
12.489372,41.8912647,20.0
12.4893884,41.8912969,20.0
12.4892407,41.8913411,20.0
12.4892167,41.8912966,20.0
12.4890679,41.89134,20.0
12.4889894,41.8912031,20.0
12.4890587,41.8911793,20.0
12.489027,41.8911271,20.0
12.489006,41.8911335,20.0
12.4889314,41.8910086,20.0
12.488034,41.8907209,3.0
12.4880431,41.8907174,3.0
12.4880583,41.8907463,3.0
12.4881123,41.8907297,3.0
12.4880977,41.8907004,3.0
12.488105,41.8906974,3.0
12.4881165,41.8907168,3.0
12.4881695,41.890698,3.0
12.4881589,41.8906871,3.0
12.4881673,41.8906832,3.0
12.4881984,41.8907192,3.0
12.4882446,41.8907728,3.0
12.4882384,41.8907753,3.0
12.4882078,41.8907391,3.0
12.488139,41.890768,3.0
12.488165,41.8908017,3.0
12.4882219,41.8907784,3.0
12.4882352,41.8908096,3.0
12.4882257,41.8908104,3.0
12.4882182,41.8907904,3.0
12.4881079,41.8908341,3.0
12.4881248,41.8908652,3.0
12.4881397,41.8908661,3.0
12.4882429,41.8908277,3.0
12.4882657,41.8908662,3.0
12.4882551,41.8908716,3.0
12.488237,41.8908369,3.0
12.4881254,41.8908801,3.0
12.488034,41.8907209,3.0
12.4874692,41.8914157,3.0
12.4874541,41.8914214,3.0
12.4874452,41.8914086,3.0
12.4874306,41.8914142,3.0
12.4874395,41.891427,3.0
